Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
http://www.thehindu.com/sunday-anchor/impact-of-public-transport-on-delhi/article7043716.ece,,0,,,,,10,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,1,,,,,,,
"1,3",,0,,,,,,,
"1,4",,1,,,,,,,
"1,5",,1,,,,,,,
"1,6",,1,,,,,,,
"1,7",,1,,,,,,,
"1,8",,1,,,,,,,
"1,9",,1,,,,,,,
"1,10",,1,,,,,,,
"2,3",,0,,,,,,,
"2,4",,1,,,,,,,
"2,5",,1,,,,,,,
"2,6",,1,,,,,,,
"2,7",,1,,,,,,,
"2,8",,1,,,,,,,
"2,9",,1,,,,,,,
"2,10",,1,,,,,,,
"3,4",,1,,,,,,,
"3,5",,1,,,,,,,
"3,6",,1,,,,,,,
"3,7",,1,,,,,,,
"3,8",,1,,,,,,,
"3,9",,1,,,,,,,
"3,10",,1,,,,,,,
"4,5",,1,,,,,,,
"4,6",,1,,,,,,,
"4,7",,1,,,,,,,
"4,8",,1,,,,,,,
"4,9",,1,,,,,,,
"4,10",,1,,,,,,,
"5,6",,1,,,,,,,
"5,7",,1,,,,,,,
"5,8",,1,,,,,,,
"5,9",,1,,,,,,,
"5,10",,1,,,,,,,
"6,7",,1,,,,,,,
"6,8",,1,,,,,,,
"6,9",,1,,,,,,,
"6,10",,1,,,,,,,
"7,8",,1,,,,,,,
"7,9",,1,,,,,,,
"7,10",,1,,,,,,,
"8,9",,1,,,,,,,
"8,10",,1,,,,,,,
"9,10",,1,,,,,,,
,,,,,,,,,
How to get admission in IIIT- Delhi : 11th query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
,,,,,,,,,
https://www.iiitd.ac.in/admission,,1,,,,,1,,
https://www.iiitd.ac.in/admission/btech/2017,,1,,,,,2,,
https://www.quora.com/How-do-I-get-an-admission-into-IIIT-Delhi,,1,,,,,3,,
http://recruitmentresult.com/iiit-delhi-admission/,,1,,,,,4,,
