Delhi metro fare : 1st query,Prerna,Ojasvi,Urvi,Himanshu,,Prerna ,Ojasvi ,Urvi,Himanshu
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
Helpline number of Delhi Metro : 6th query,,,,,,,,,
,,,,,,,,,
https://addresscustomerservicecenternumber.com/Customer-Care-Contact-Number-of-Delhi-Metro-New-Delhi/,,1,,,,,1,,
http://www.delhimetrorail.com/contact_us.aspx,,1,,,,,2,,
https://www.dmrcsmartcard.com/ContactUs.aspx,,1,,,,,3,,
https://www.customercaretollfreenumber.com/delhi-metro/,,1,,,,,4,,
https://customercare.tollfree-number.org/2015/03/dmrc-metro-station-numbers-delhi-metro.html,,1,,,,,5,,
http://www.delhimetrorail.com/contact_us.aspx,,1,,,,,6,,
http://www.customersupportnumber.in/railways/delhi-metro-customer-care-number.html,,0,,,,,8,,
http://customerkarts.com/delhi-metro-customer-care-number/,,1,,,,,9,,
http://customercaresupportinfo.in/delhi-metro-dmrc-customer-care-complaint-number-toll-free-office-address.html,,1,,,,,10,,
http://customer-carenumber.com/travel/delhi-metro-customer-care/,,1,,,,,7,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,0,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,1,,,,,,,
,,,,,,,,,
smart card online recharge :7th query,,,,,,,,,
,,,,,,,,,
https://timesalert.com/hyderabad-metro-smart-card/25588/,,0,,,,,3,,
https://www.mumbai77.com/city/2900/travel/smart-card-recharge/,,0,,,,,4,,
https://www.icicibank.com/infosys-smart-city-card/index.page,,1,,,,,5,,
https://dmrcsmartcard.com/,,1,,,,,7,,
https://paytm.com/metro-card-recharge,,1,,,,,8,,
https://timesalert.com/hyderabad-metro-smart-card/25588/,,0,,,,,9,,
https://paytm.com/metro-card-recharge&sa=U&ved=0ahUKEwja26CU3ITaAhWCoJQKHaNpCYcQFggtMAM&usg=AOvVaw33Vuu1hL16ADNt55R2yGmM,,1,,,,,10,,
https://paytm.com/metro-card-recharge/delhi-metro&sa=U&ved=0ahUKEwiW77KgzePZAhXFoJQKHUhbDycQFggqMAM&usg=AOvVaw3acWyxIoae9V0W1499f9e2,,1,,,,,6,,
https://paytm.com/metro-card-recharge&sa=U&ved=0ahUKEwiW77KgzePZAhXFoJQKHUhbDycQFggkMAI&usg=AOvVaw2TEawsVsYPJEeoMvQp8062,,1,,,,,2,,
https://paytm.com/metro-card-recharge/delhi-metro&sa=U&ved=0ahUKEwja26CU3ITaAhWCoJQKHaNpCYcQFggzMAQ&usg=AOvVaw0Tuo0wwZ4nq5IYLTdV6qak,,1,,,,,1,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,1,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,1,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,1,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,1,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
Is metro closed today : 8th query,,,,,,,,,
,,,,,,,,,
http://kmrc.in/,,1,,,,,1,,
https://www.ndtv.com/delhi-news/delhi-four-metro-stations-to-remain-closed-today-548339,,1,,,,,2,,
http://www.thehindu.com/news/cities/Delhi/4-metro-stations-to-remain-closed-today/article4732286.ece,,1,,,,,3,,
https://www.ndtv.com/topic/metro-stations-closed,,0,,,,,5,,
https://www.ndtv.com/delhi-news/delhi-four-metro-stations-to-remain-closed-today-548339,,1,,,,,6,,
http://www.thehindu.com/news/cities/Delhi/4-metro-stations-to-remain-closed-today/article4732286.ece#!,,1,,,,,8,,
https://www.wxyz.com/news/metro-detroit-traffic-m-59-ramps-to-nb-i-75-closed-today-for-waste-cleanup,,0,,,,,9,,
https://www.thehindubusinessline.com/news/10-Delhi-Metro-stations-closed-today/article20546118.ece,,1,,,,,10,,
http://www.thehindu.com/news/cities/Delhi/4-metro-stations-to-remain-closed-today/article4732286.ece,,1,,,,,7,,
http://zeenews.india.com/tags/delhi-metro.html,,1,,,,,4,,
,,,,,,,,,
Ranking Annotation,,,,,,,,,
,,,,,,,,,
"1,2",,0,,,,,,,
"1,3",,0,,,,,,,
"1,4",,0,,,,,,,
"1,5",,0,,,,,,,
"1,6",,0,,,,,,,
"1,7",,0,,,,,,,
"1,8",,0,,,,,,,
"1,9",,0,,,,,,,
"1,10",,0,,,,,,,
"2,3",,0,,,,,,,
"2,4",,0,,,,,,,
"2,5",,0,,,,,,,
"2,6",,0,,,,,,,
"2,7",,0,,,,,,,
"2,8",,0,,,,,,,
"2,9",,0,,,,,,,
"2,10",,0,,,,,,,
"3,4",,0,,,,,,,
"3,5",,0,,,,,,,
"3,6",,0,,,,,,,
"3,7",,0,,,,,,,
"3,8",,0,,,,,,,
"3,9",,0,,,,,,,
"3,10",,0,,,,,,,
"4,5",,0,,,,,,,
"4,6",,0,,,,,,,
"4,7",,0,,,,,,,
"4,8",,0,,,,,,,
"4,9",,0,,,,,,,
"4,10",,0,,,,,,,
"5,6",,0,,,,,,,
"5,7",,1,,,,,,,
"5,8",,0,,,,,,,
"5,9",,0,,,,,,,
"5,10",,0,,,,,,,
"6,7",,0,,,,,,,
"6,8",,0,,,,,,,
"6,9",,0,,,,,,,
"6,10",,0,,,,,,,
"7,8",,0,,,,,,,
"7,9",,0,,,,,,,
"7,10",,0,,,,,,,
"8,9",,0,,,,,,,
"8,10",,0,,,,,,,
"9,10",,0,,,,,,,
,,,,,,,,,
DMRC recruitment : 9th query,,,,,,,,,
,,,,,,,,,
http://www.delhimetrorail.com/career.aspx,,1,,,,,1,,
